Title,Date,URL,Compensation,Employment_type,Images,Description
Successful Architecture Startup Seeks PT Interns,2020-10-09 16:06,https://newyork.craigslist.org/mnh/egr/d/new-york-successful-architecture/7211130305.html,Unlimited Metro Card for 20hrs of work,part-time,,"
        ,
We are looking for a few architecture interns to begin working for our company, Juego de Pelota immediately. We are rapidly growing with more than 5 current projects to build stadia around the world. ,
,
This is a part-time internship. The shifts are 4 hours each, 9:00-1:00 and 2:00-6:00 Monday-Friday. ,
We are flexible with hours for the right candidates and can work around school schedules. You will receive an unlimited metro card to start. ,
We hope that you can grow with us, and there is a definite possibility to be brought on for a full-time paid position.,
,
Please send an email to apply ASAP! Please include resume and portfolio (if you have one) as attachments. This mailbox will monitored over the weekend. Interviews Monday and Tuesday.,
,
About Juego de Pelota:,
We develop sustainable, prosperous, iconic, state-of-the-art stadiums that become great social and economic assets for their cities and sports clubs.,
,
Our holistic and sustainable approach takes into consideration the needs of the community beyond sports, integrating the stadium as part of a mixed-use building that serves its community in many ways every day of the year.,
,
Depending on each city’s specific needs and the site’s location, we include in the stadium government offices, schools, hotel, restaurants, cultural infrastructure, and an essential component: an innovation hub.,
,
www.JuegodePelota.com    "
In-house Junior Project Manager needed,2020-10-09 17:14,https://newyork.craigslist.org/mnh/egr/d/new-york-city-in-house-junior-project/7211176465.html,based on experience,employee's choice,,"
        ,
General Contractor is seeking for a Junior Project manager who can create estimates and to assist its senior project managers and office staff.,
,
Position is available full time or part time (3 days a week).,
,
Responsibilities include but are not limited to the following:,
•	Assist on the preparation of estimates, change orders and field reports,
•	Review bid packages, architectural plans and schedules and email/follow up with the appropriate trade.,
•	Prepare submittals and bid packages for architects,
•	Order, track and coordinate delivery of materials to jobsites,
•	Schedule and follow up on service calls, and ensure of timely completion,
•	Schedule site meetings for ongoing and prospective clients,
•	Update spreadsheets for ongoing and prospective projects,
•	Calendar management,
•	Screen and answer phone calls when needed,
•	Draft, respond to, and monitor incoming and ongoing emails,
•	Assist with other administrative duties as needed.,
,
Qualifications:,
• Associate or Bachelor degree in related fields,
• 2+ year of work experience in an architectural, engineering or construction companies. Extensive knowledge of blueprint reading.,
• Excellent oral and written communication skills.,
• Proficient in Excel/Google Sheets,
• Familiar with Google Drive or iCloud.,
• Extremely detail-oriented, punctual, positive can-do attitude, and organized. ,
• Able to set priorities and to work independently or as part of a team.,
,
Small Office setting,
Business Casual Environment,
Salary based on experience,
,
How To Apply: ,
• Write your cover letter in the body of your email and indicate your availability (full-time or part-time) and salary requirements.,
• Attach resume in Word or PDF format only    "
Structural Engineer Needed,2020-10-10 08:01,https://newyork.craigslist.org/lgi/egr/d/structural-engineer-needed/7211413205.html,Based on experience,full-time,,"
        ,
Growing structural engineering firm seeks experienced engineer with 2-5 years of experience. Our project work includes residential, commercial and institutional projects. Experience with steel, concrete, wood and cold-formed design is a plus. Must be able to effectively communicate, both written and verbally. Job responsibilities include:,
,
Attend project meetings,
Prepare designs for projects,
Coordinate structural design with Owner/Architects,
Prepare detailed calculations,
Review project shop drawings,
Prepare structural drawings for drafting,
Conduct site visits (reliable mode of transportation is required),
Prepare inspection reports,
,
Candidates must have experience with the following software:,
AutoCAD,
Revit,
Excel,
ETABS,
RAM,
RISA,
,
Looking for the right candidate to grow with our firm. Please submit PDF copy of resume along with salary requirements.    "
Senior Architect,2020-10-09 18:25,https://newyork.craigslist.org/mnh/egr/d/senior-architect/7211219359.html,Please forward your salary requirements,full-time,,"
        ,
Nelligan White Architects is a 25‐person firm located in New York’s Flatiron district. The majority of our design work is focused on municipal, cultural, education and multi‐residential housing projects, and we have been recognized for our expertise in resilience master planning and sustainability.,
,
Ideal applicants will demonstrate the following attributes:,
,
•	Highly motivated,
•	The ability to work independently and leading a team,
•	Exemplary verbal and written communication,
•	Senior level work experience with all phases of design and construction administration,
•	Experience with new construction and rehabilitation of buildings,
•	Be a conceptual thinker with strong technical skills (design and drawing),
•	Experience providing detailed construction documents ,
•	Experience writing specifications,
•	The ability to work efficiently in a fast-paced environment,
,
Responsibilities & Duties,
•	Prepare original architectural plans, diagrams and data visualization.,
•	Lead design assignments and supervise team progress.,
•	Independently evaluate, select and apply standard planning techniques, procedures, and criteria,
•	Using judgment for minor adaptations and modifications.,
•	Recommend procedures in planning matters.,
•	Work from plans/designs of others to compile data and perform design computations.,
•	Assist in writing specifications.,
•	Visits construction sites to gather information.,
•	Receives instruction on specific assignment objectives and independently provides solutions for these objectives.,
•	Support Principal/Partners on large projects.,
•	Manage a team of intermediate to junior designers,
,
Qualifications,
•	10 years’ experience with a professional degree in Architecture and license in New York State,
•	High proficiency with AutoCAD. Adobe Suite knowledge is a plus.,
•	Strong analytical and conceptual skills and ability to grasp complex functional program requirements.,
•	Effective verbal and written communication skills.,
•	The ability to work well leading a team environment with a collaborative and professional work ethic.,
•	Experience working with large public agencies is a plus,
,
Apply with the following items attached as one PDF in a zip file, Please enter “Senior Architect” in the subject line.,
•	Cover letter,
•	Resume in PDF format,
•	Portfolio and work samples include renderings and construction document samples,
•	Salary requirements,
•	Two references that you have worked directly with in the last five years,
,
Nelligan White Architects offers a competitive salary and benefits package, which includes: medical, dental and vision insurance, flexible spending account, disability insurance, paid time off, holiday pay and 401(k) participation. This is a full‐time, exempt position.,
,
Nelligan White Architects, PLLC provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. Nelligan White Architects expressly prohibits any form of workplace harassment based on race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, genetic information, disability or veteran status.,
,
,
    "
Jr Project Manager / Shop Drawing Producer experienced in misc steel,2020-10-10 02:28,https://newyork.craigslist.org/que/egr/d/college-point-jr-project-manager-shop/7211372304.html,upon experience,full-time,,"
        ,
We are seeking someone with some experience in iron works/ steel fabrication to produce shop drawings, help manage projects by visiting job sites and measuring possibly, as well as doing takeoffs for bids.This is an inside/outside position.Please apply in detail.Thx    "
Project Manager - Electrical / Data Construction - Large Firm,2020-10-11 13:24,https://newyork.craigslist.org/mnh/egr/d/new-york-project-manager-electrical/7212118850.html,Compensation based off of experience,full-time,,"
        ,
Company Overview: ,
We are a large-scale electrical contractor in NYC.  We are a family owned and operated business.  Our projects include data centers, museums, hotels, Telecom infrastructure, Sports Arenas, and office spaces for some of the leading companies and venues in the New York City area.  ,
,
About The Role: ,
We are looking for a full time Project Manager with 5-20 year's experience.  This position will work under one of the owners of the company.  They will be responsible for their own projects as well as assisting the owner in all aspects of electrical and communications construction projects to ensure project success.,
,
If you have knowledge and experience with Data cable and fiber wiring layout and install please be sure to note on resume.  This is a big plus. ,
,
Job Function: ,
-	Ensure field supervision has the instruction, material, and support that they need to succeed,
-	Address client and vendor concerns,
-	Proposal preparation and review,
-	RFI preparation and review,
-	Submittal tracking,
-	Monitor status of projects,
-	Contract administration,
-	Prepare billing requests,
-	Prepare basic estimates ,
-	Attend project meetings,
-	Conduct and prepare post-project analysis,
-	Take initiative and spear head initiatives to improve business practices,
,
Requirements: ,
-	5 - 20 years of experience as a project manager in the electrical / communications industry ,
-	Proficiency in Microsoft Office,
-	Knowledge of electrical construction,
-	Strong research and sourcing skills,
-	Must be able to manage multiple projects at once. ,
-	Demonstrate excellent verbal and written communication ,
-	Travel to projects within NYC,
,
Preferred Qualifications: ,
-	Hands on electrical construction field experience,
-	Cooper and fiber install knowledge,
-	Radio RF cable antenna install knowledge,
-	Knowledge of Blue Beam and AutoCAD,
-	Prior electrical estimating experience,
-	Proficient in Google Suite of products ,
,
This position has excellent career advancement opportunities.  Most of our project managers have grown with the company since their employment. ,
,
Additional Information: ,
We are located in Long Island City Queens. Easily accessible by the 7, N,W,R,E,M, and F train. ,
,
    "
Structural Engineer,2020-10-03 15:38,https://newyork.craigslist.org/que/egr/d/fresh-meadows-structural-engineer/7207609218.html,The salary is based on level of experience.,full-time,,"
        ,
Job Description:,
,
We are currently seeking structural engineers at multiple levels to join our team. As a structural engineer, you will work with other team members in our highly collaborative environment to assure that designs are developed in accordance with appropriate codes and standards, quality control objectives are achieved, and project goals are met within the schedule and budget. This is an outstanding opportunity for a structural engineer to work on a variety of high-profile projects throughout the region. ,
,
Duties and Responsibilities:,
,
- Coordinate with architects, contractors, owners, and other engineers from the initial planning stages through final construction.,
- Determine design criteria using relevant codes and standards.,
- Analyze and/or prepare models and calculations for various structural elements and systems by using various software and/or hand calculations.,
- Develop contract documents, including construction drawings and technical specifications,
- Produce schematic and detailed designs and evaluation of planning and concept alternatives,
- Review shop drawings, RFI's.,
- Perform field inspections and write inspection reports.,
,
Skills and Qualifications:,
,
- Familiar with latest version of AutoCAD, Revit, ETABS, SAP2000, SAFE, RAM, Excel.,
- Excellent verbal and written communication skills,
- Ability to effectively work independently and collaboratively in a team environment,
- Must be eligible to work in the United States,
,
Entry Level Candidates:,
- Bachelor’s degree in Civil or Structural Engineering.,
,
Intermediate Level Candidates:,
- Master’s degree in Civil or Structural Engineering.,
- 3+ years of related work experience in concrete or steel framing building structural design, support-of-excavation and foundation system design, steel or concrete rebar shop drawing design, construction support design and field inspection.,
,
Advance Level Candidates:,
- Master’s degree in Civil or Structural Engineering.,
- 8+ years of related work experience in concrete or steel framing building structural design, support-of-excavation and foundation system design, steel or concrete rebar shop drawing design, construction support design and field inspection.,
- NYS PE License,
,
,
,
    "
Engineering Laboratory Technician,2020-10-11 17:46,https://newyork.craigslist.org/wch/egr/d/pleasantville-engineering-laboratory/7212274487.html,Commensurate with experience,full-time,,"
        ,
Our firm is seeking a skilled individual for a full-time laboratory technician position in our materials testing laboratory.  Our firm is involved in testing and analysis of a variety of construction materials, and a large fraction of our work focuses on historic buildings and structures.,
,
Candidates with 2-5 years of prior experience are preferred.  Responsibilities will include sample preparation (drilling, cutting, grinding, sieving, etc.), test performance, data entry and processing, writing/editing standard operating procedures, and potentially assisting in the fabrication and wiring of new test set-ups.  The candidate will also need to supervise one or two part-time labor staff.,
,
The successful candidate will:,
,
•	Be handy with basic hand and power tools and have mechanical aptitude.,
•	Enjoy practical work and not be afraid to get their hands dirty.,
•	Be highly detail-oriented and have the ability to work efficiently with great accuracy.,
•	Be a problem-solver and enjoy creating efficient work flows.,
•	Follow instructions without embellishment or deviation.,
•	Have the ability to work with deep focus and meet tight deadlines.,
•	Have good situational awareness and be able to monitor several lab operations at a time.,
•	Be proficient in Microsoft Word and Excel.,
,
We plan to consider a wider range of candidates to fill this position depending on the pool of applicants that respond. ,
•	At one end would be someone very handy but with only limited practical experience.  That person might have good hand skills and a year or so of practical work experience in some type of engineering environment.  Minimum education might include some science or engineering coursework. ,
•	At the other end would be someone with several years of experience in a product testing environment who is comfortable with fabricating test rigs and has some electronics experience.  This person would have at least a 4-year degree in engineering or related field.,
,
If interested, please include a short cover letter along with your resume highlighting the characteristics that make you a good candidate for this position.  Applications missing a cover letter will be immediately discarded.,
    "
Architecture Internship,2020-10-12 10:22,https://newyork.craigslist.org/wch/egr/d/architecture-internship/7212547963.html,Salary will be directly related to ability and performance.,full-time,,"
        ,
We are a Small Architectural Firm located in Elmsford, NY seeking a motivated and responsible individual who is working towards or  possesses a bachelor and/or master degree in Architecture with prior office experience. Our firms primary work is in multi-family residential and commercial spaces. ,
,
,
Skills and Qualifications:,
,
• Detail oriented,
• Organized,
• Strong communications skills,
• Able to work independently and meet deadlines,
• Able to take Direction from the Team and work collaboratively,
,
Software Requirements:,
,
•Required: Proficiency with AutoCAD and MS Office: Word, ,
•Not Required but Preferred: Proficiency with MS Office: Excel, Adobe: Photoshop and/or Illustrator and 3D Computer Rendering ,
,
Application Requirements:,
,
The ideal candidate will be a resident of this area with a vehicle to travel independently to job sites. Interested candidates should e-mail a cover letter, work examples and resume. Resumes must include a phone number and the city/town of residence. Candidates must already be authorized to work in the US. ,
,
Contact by email only at Info@RJStahlArchitect.com.,
,
Salary will be directly related to ability and performance.,
,
Employer Web Site: www.rjstahlarchitect.com,
,
,
    "
Project Manager / Architect,2020-10-21 15:09,https://newyork.craigslist.org/wch/egr/d/dobbs-ferry-project-manager-architect/7217983572.html,Compensation to be commensurate with experience.,full-time,,"
        ,
Michael Lewis Architects PC is looking for a talented and energized architect with 3-4 years practical experience to manage and work on a variety of engaging projects. Work includes design, project management, computer drafting, construction administration, and the full range of tasks needed to see projects through to completion. The firm is located along the Hudson River in Dobbs Ferry, NY, close to the train station about a half hour north from Grand Central Station on Metro North's Hudson Line.,
,
Our team is open, relaxed, and friendly. This opportunity offers a wide variety of experiences as well the potential for rapid growth and increased responsibility and control. MLA participates in the NCARB Architectural Experience Program (AXP) for those seeking to complete licensing requirements.  In response to COVID, arrangements for working remotely in conjunction with the office needs are open for discussion.,
,
Minimum Qualifications:,
-BArch or BS/Arch degree,
-At least 3 years of professional experience,
-Experience managing projects and in construction oversight,
-Strong CAD abilities (We use Vectorworks software: experience with it would be highly beneficial),
-Computer rendering experience,
-Strong communication skills and a collaborative spirit,
,
Desired Experience / Abilities: ,
-Photoshop,
-Website management and maintenance,
-Social media management,
-Microsoft office,
-Google suite,
,
The position offered is primarily full time, however, qualified part time candidates may also apply. Compensation will be commensurate with experience and ability. ,
,
To Apply: ,
Please email resume/CV and cover letter and reply directly to this posting. Feel free to attach portfolio or other relevant materials. Telephone inquiries regarding this position are not accepted.    "
Cabinet/millwork business seeking motivated drafter and office clerk,2020-10-12 18:31,https://newyork.craigslist.org/brk/egr/d/brooklyn-cabinet-millwork-business/7212915084.html,$15 per hour and up depending on experience,full-time,,"
        ,
For the following but not limited to:,
,
•Drafting,
•Design,
•Estimates ,
•Billing,
•Material sourcing ,
•Scheduling,
•Designer/architect/client Communication ,
,
Candidate should have:,
,
•excellent communication skills,
•knowledge in spreadsheets, quickbooks and drafting software,
•an interest in pursuing and growing in the design field ,
,
Great potential for right candidate.    "
Project manager / expeditor,2020-10-12 20:42,https://newyork.craigslist.org/stn/egr/d/staten-island-project-manager-expeditor/7212981474.html,contract base on work required,contract,"https://images.craigslist.org/00808_hchlZXwRdTM_0hq09O_600x450.jpg,https://images.craigslist.org/00505_5ElD3XkybvR_08A03R_600x450.jpg,https://images.craigslist.org/00a0a_bJYhBlpVleo_0ei08s_600x450.jpg,https://images.craigslist.org/00B0B_gaIRQy4AA4Y_08807m_600x450.jpg,https://images.craigslist.org/00h0h_bmhzbeVviqV_06a06b_600x450.jpg,https://images.craigslist.org/00y0y_fCHGxbxBaN9_0aN04M_600x450.jpg,https://images.craigslist.org/00I0I_gxWHwo0SIQz_05403h_600x450.jpg,https://images.craigslist.org/00303_jZVT05Eovy6_0b00a9_600x450.jpg,https://images.craigslist.org/00b0b_eUrmunBhTf6_0g40a4_600x450.jpg","
        ,
I need help getting the jobs through the DOB, I need someone who can go to the DOB and process the job... Send me your credentials/availability, I will review and follow up...thanks.    "
Looking for freelance expeditors,2020-10-07 16:28,https://newyork.craigslist.org/mnh/egr/d/new-york-looking-for-freelance/7209964306.html,Per job,contract,,"
        ,
We are an expediting company looking to work with a few expeditors on a freelance basis. Must have at least a Class 1 Filing Representative license from the DOB. ,
,
Most of the work we do is done online. So, we are looking to partner with a few expeditors to file work under their license. We will work closely with you on each project to make sure you know exactly what is being filed. Our office would set up the jobs/paperwork and submit. Only filing plumbing jobs in the DOB NOW: Build system would be done by the freelancers we work with. In addition, sometimes we need to go to the borough offices (mostly Manhattan and Brooklyn) to submit something in person. If you aren't able to submit things in person once in awhile - that's OK. We can still work with you.,
,
Types of jobs we do:,
,
- Alt-2 renovation filings,
- Pulling initial/renewal permits,
- Signing off jobs,
- Updating contractor insurance files,
,
Please contact us for more information.    "
Mechanical Engineer for Rapidly growing medical device company,2020-10-08 10:46,https://newyork.craigslist.org/fct/egr/d/brookfield-mechanical-engineer-for/7210305583.html,$60-70K,full-time,,"
        ,
About Our Company:  ROM Technologies is a 4-year-old medical technology company that has created and patented two revolutionary medical devices (second high-tech device not shown on our website) which help patients recover from knee surgery faster and with less pain.  These first two pioneer devices are complete and are now to market.  Demand is intense, with orders from more than 500 physicians for 9,000 units already and growing quickly.  We are currently fulfilling these orders, and simultaneously scaling up our manufacturing to fulfill the booming demand.,
,
We proudly source every component in our devices domestically, making them true “Made In America” products.  We aim to design and build products that live up to the historic reputation of the finest American quality, and we seek new members of our team who would like to contribute to this goal.,
We are building a great, transparent, team-friendly environment with strong camaraderie and mutual respect which will be the foundation of an industry-leading design team.,
We seek an exceptional Mechanical Engineer for immediate hire, to work on-site, in our headquarters in Brookfield, Connecticut.,
,
The Mechanical Engineer will:,
Be responsible for supporting the mechanical engineering department.,
This person will interact with all ROMTech departments to achieve goals.,
 ,
Duties Include:,
- Designs mechanical and electromechanical products and systems.,
- Maintains and creates part and product documentation. ,
- Provides continuing aid to existing mechanical engineering departments. ,
- Participates in new product development.,
- Designs, develops, and builds assembly and product test fixtures.,
- Evaluates existing designs to improve reliability, decrease cost, reduce weight, and reduce assembly time.,
- Confirms system and product capabilities by designing feasibility and testing methods and properties.,
- Develops mechanical and electromechanical products by studying customer requirements; researching and testing  manufacturing and assembly methods and materials; and soliciting observations from operators/assemblers.,
- Assures system and product quality by designing testing methods; testing finished product, and system capabilities.,
- Prepares reports by collecting, analyzing, and summarizing information and trends.,
- Completes projects by training and guiding technicians.,
- Maintains professional and technical knowledge by attending educational workshops, reviewing professional publications, establishing personal networks, participating in professional societies.,
- Contributes to team effort by accomplishing related results as needed.,
- Applying knowledge of product design, fabrication, assembly, tooling and materials.,
- Soliciting observations from technicians. ,
,
Qualifications / Skills:,
Design skills ,
Organization/Document control,
Presenting technical information,
Communication skills,
Conceptual skills,
Quality focus,
General consulting skills,
Technical capabilities,
Knowledge of GD&T preferred,
 ,
Education, Experience, and Licensing Requirements:,
Minimum 2 years’ experience working in the mechanical engineering field,
Proficient expertise with SolidWorks,
Experience with generating and maintaining part drawings and documentation,
Exceptional computer skills,
Good hands-on skills with assembling, building, troubleshooting electromechanical devices and fixtures. ,
Bachelor’s degree in mechanical engineering preferred,
,
This position is a full-time employment opportunity. We are looking for ambitious, hard-working and dedicated individuals who take great pride in their work. If this sounds like the right fit for you, please submit a detailed cover letter and your resume to be considered. ,
Thank you for your interest.,
    "
